,productTitle,Review Title,Rating,Review Body
52,"realme Buds Air 2 with Active Noise Cancellation (ANC) Bluetooth Headset (Closer Black, True Wireless).",Buy it ..if u have more money to waste ..,2.0 out of 5 stars,"After 1year of usage ...It has many problems like connectivity, noise canceling.,voice will got stuck in bw call ..and price reduced more now ..when I brought it it was 5k ....pls...don't refer YouTube always to chose the product.."
53,"realme Buds Air 2 with Active Noise Cancellation (ANC) Bluetooth Headset (Closer Black, True Wireless).",Right earbud stopped working after 15 days,1.0 out of 5 stars,Right earbud stopped working after two weeks and frequently gets disconnected and reconnected. Overal a bad experience. Worst experience. In overall all realme products are crap
54,"realme Buds Air 2 with Active Noise Cancellation (ANC) Bluetooth Headset (Closer Black, True Wireless).",Good,4.0 out of 5 stars,"Battery life is OK but could have been good, ANC works really great and the best thing is the realme app from where we can control everything."
55,"realme Buds Air 2 with Active Noise Cancellation (ANC) Bluetooth Headset (Closer Black, True Wireless).",Issue with Connectivity,1.0 out of 5 stars,Please don't waste your time in buying this expensive buds from Realme. Really disappointed by Realme Airpods pro. Able to connect with only one side
56,"realme Buds Air 2 with Active Noise Cancellation (ANC) Bluetooth Headset (Closer Black, True Wireless).",Super Product.,5.0 out of 5 stars,Price is the biggest factor for any product to click. The only problem is the size of the charging code.
57,"realme Buds Air 2 with Active Noise Cancellation (ANC) Bluetooth Headset (Closer Black, True Wireless).",One side doesnot work..,1.0 out of 5 stars,I didnt like the one side is not working...i gifted someone she opened it late one side is not working..help me with the replacement.
58,"realme Buds Air 2 with Active Noise Cancellation (ANC) Bluetooth Headset (Closer Black, True Wireless).",Great Buds.,4.0 out of 5 stars,"Good product, noice cancellation works best. Very clear on calls and loud on music.Great product for music, calls, easy handling/ user friendly. Want buds, buys this!"
59,"realme Buds Air 2 with Active Noise Cancellation (ANC) Bluetooth Headset (Closer Black, True Wireless).","Everything's good, except the in ear fit.",4.0 out of 5 stars,"This problem maybe for my ear, don't know !But the device feels uncomfortable after wearing it for an hour or so.Otherwise, the sound quality, ANC, microphone quality.. everything is quite good."
60,"realme Buds Air 2 with Active Noise Cancellation (ANC) Bluetooth Headset (Closer Black, True Wireless).","Use less,",3.0 out of 5 stars,"Poor battery backup, no noise cancellation at all, bought  only because of noise cancellation but, don't purchase buy other indian Or Chinese earbud, battery backup is 3-4 hrs"
61,"realme Buds Air 2 with Active Noise Cancellation (ANC) Bluetooth Headset (Closer Black, True Wireless).",Don’t buy it,1.0 out of 5 stars,It has lot of hardware issue. Please don’t buy it. I have finally claimed a new air buds from local realme service center using the warranty bill
62,"realme Buds Air 2 with Active Noise Cancellation (ANC) Bluetooth Headset (Closer Black, True Wireless).",Realme bluetooth earbuds,5.0 out of 5 stars,"Good quality, handy one, easy to handle"
63,"realme Buds Air 2 with Active Noise Cancellation (ANC) Bluetooth Headset (Closer Black, True Wireless).",Overall 3 or 3.5 based on 1 month experience.,4.0 out of 5 stars,Its decent quality based on price but not sure if its best in the segment. Controls are good and can be customised but the buds itself are heavy and falls out during intense workout otherwise its good.
64,"realme Buds Air 2 with Active Noise Cancellation (ANC) Bluetooth Headset (Closer Black, True Wireless).","Not at all value for money, issues with mic, issues with connectivity and not that comfortable.",1.0 out of 5 stars,IT has some serious connectivity issues. Both the EarPods do not sync. Resulting in a very irritating sound. and mic quality is very poor. not at all audible to the other side. never recommend this to anyone
65,"realme Buds Air 2 with Active Noise Cancellation (ANC) Bluetooth Headset (Closer Black, True Wireless).",Check for Fake product,2.0 out of 5 stars,Fake product delivered! Not a quality. Used realme pods before as well. Lost it and purchased again. But this this time the product is delivered a fake . Not a original realme brand.
66,"realme Buds Air 2 with Active Noise Cancellation (ANC) Bluetooth Headset (Closer Black, True Wireless).",Wort the money,5.0 out of 5 stars,"It's case quality and everything is pretty amazing, sound quality and noise cancellation is also pretty good, it's totally wort it"
67,"realme Buds Air 2 with Active Noise Cancellation (ANC) Bluetooth Headset (Closer Black, True Wireless).","Really wonderful, best in the price range",5.0 out of 5 stars,"Noise cancelling is very good. Sound quality is excellent. Connectivity is very good.In short, it's best in the price range.Am providing this review after 3 month's of usage."
68,"realme Buds Air 2 with Active Noise Cancellation (ANC) Bluetooth Headset (Closer Black, True Wireless).",Do not buy!,1.0 out of 5 stars,First it wasnt connecting.. later it started so didnt replaced it now its not working niether charge is workong complete waste of money
69,"realme Buds Air 2 with Active Noise Cancellation (ANC) Bluetooth Headset (Closer Black, True Wireless).",the right side of the aipod stopped working,1.0 out of 5 stars,i purchased the airpod after reading such amazing review but im highly disappointed as the right airbud is not working. It is of no use when one earbud doesnt work.further there is no repalcement option as well
70,"realme Buds Air 2 with Active Noise Cancellation (ANC) Bluetooth Headset (Closer Black, True Wireless).",Left earpod is not working,1.0 out of 5 stars,In description mentioned 7 days replacement but when click on replacement option getting contact to customer care.i just want it replace with proper working condition earpods
71,"realme Buds Air 2 with Active Noise Cancellation (ANC) Bluetooth Headset (Closer Black, True Wireless).",Loved it ❤️,5.0 out of 5 stars,"Quality, look is just awesome. It was a gift to a friend, he really loved it ❤️... Matte finish complimented the premium feeling."
72,"realme Buds Air 2 with Active Noise Cancellation (ANC) Bluetooth Headset (Closer Black, True Wireless).",It's not a anc product,1.0 out of 5 stars,Not an anc productI want my money back
73,"realme Buds Air 2 with Active Noise Cancellation (ANC) Bluetooth Headset (Closer Black, True Wireless).",Value For Money,5.0 out of 5 stars,Value for money. Product is good in this price range.Specially when get it for 2K
74,"realme Buds Air 2 with Active Noise Cancellation (ANC) Bluetooth Headset (Closer Black, True Wireless).",Good quality earbuds,5.0 out of 5 stars,Good quality earbuds
75,"realme Buds Air 2 with Active Noise Cancellation (ANC) Bluetooth Headset (Closer Black, True Wireless).",It's broken,1.0 out of 5 stars,I have received too delicate product have buy this product in May with in 3 months i have faced this type of product issue. Can u help
76,"realme Buds Air 2 with Active Noise Cancellation (ANC) Bluetooth Headset (Closer Black, True Wireless).",Great Product,5.0 out of 5 stars,After done enough research and found this best pair of twsGuys believe me no regret at any pointIf you are a music lover you will love it
77,"realme Buds Air 2 with Active Noise Cancellation (ANC) Bluetooth Headset (Closer Black, True Wireless).",Good Earbuds by Realme,5.0 out of 5 stars,"The media could not be loaded.
                



 its good to have this earbuds...ok ok type noise cancellation."
78,"realme Buds Air 2 with Active Noise Cancellation (ANC) Bluetooth Headset (Closer Black, True Wireless).",Excellent & Top Notch,5.0 out of 5 stars,This product is a masterpiece in its price range with all A1 build qualities and functions
79,"realme Buds Air 2 with Active Noise Cancellation (ANC) Bluetooth Headset (Closer Black, True Wireless).",This is disgusting.,1.0 out of 5 stars,"The media could not be loaded.
                



 I didn't expect this from Amazon at all.  The product I got doesn't work at all and it's completely discontinued."
80,"realme Buds Air 2 with Active Noise Cancellation (ANC) Bluetooth Headset (Closer Black, True Wireless).",Don't by this,1.0 out of 5 stars,"It's been less than one month, while listening any songs or anything suddenly stopped working getting abnormal noise and again started working. I feel it's waste to buy this product"
81,"realme Buds Air 2 with Active Noise Cancellation (ANC) Bluetooth Headset (Closer Black, True Wireless).",Useless product,1.0 out of 5 stars,Useless product no proper bass. The voice gets distorted in there is a humming noise. Not recommend to spend hard earn money go for any other product
82,"realme Buds Air 2 with Active Noise Cancellation (ANC) Bluetooth Headset (Closer Black, True Wireless).",Not worth the price go for better brand,1.0 out of 5 stars,Left side bud not charging. Case is 100% right buds 100% but left buds not at all charging also not getting detected. I always use both buds together.
83,"realme Buds Air 2 with Active Noise Cancellation (ANC) Bluetooth Headset (Closer Black, True Wireless).",Faulty product,1.0 out of 5 stars,"Received a faulty product, trying to return it from last 3 days but again and again the pick schedule is getting cancelled"
